username,date,Helpful count,stars,review title,Review text,Badges,Top Contributor
Noni,"Reviewed in the United States on September 25, 2015",2 people found this helpful,5.0 out of 5 stars,You are in for a treat,"Oh what a treat for anyone who hasn't yet read this first rate book. The story starts with Mikael Blomkvist, a journalist, being convicted of publishing false information about a wealthy industrialist. He is unable to defend himself because of not wanting to reveal his source. Elsewhere in Stockholm is Lisbeth Salander, a most unusual young woman who works for a security company and is an adept computer hacker. We are also introduced to Henrik Vanger, an old man whose young niece disappeared many years ago, presumed murdered, and yet every year on his birthday he is reminded of her when a mysterious present arrives. These characters all come together to make a most exciting and unusual story.This is a great story with unusual but credible characters. The best bit is that there are so far another 3 equally good books which follow on from it. The only negative is the Swedish names which can be hard to get ones tongue around and hard to remember. Well worth the effort though.",,
Christina McDonald,"Reviewed in the United States on August 30, 2017",2 people found this helpful,5.0 out of 5 stars,An absolutely fantastic literary achievement,"Mikael Blomkvist, a disgraced financial journalist, and computer hacker Lisbeth Salander investigate the disappearance of Harriet Vanger 40 years ago.An absolutely fantastic literary achievement, the first book in the Millennium series was unputdownable. It started out a bit daunting, with various names and characters thrown at you, but after you get through that bit you really can't stop reading. I went straight on to the next books and thoroughly enjoyed them all.",,
Conitis,"Reviewed in the United States on December 9, 2019",,5.0 out of 5 stars,The best novel I've ever read,"Although the early part of book one of this trilogy is a very slow read, without it you'd be lost later in the story.  The books are real page turners.  I read a large portion on a noisy subway commuting to work.  The story was so engrossing that I easily tuned out the noise of my surroundings and fellow commuters.  A great story.  If you watch the movie the Swedish version with the English subtitles  is the better version.  The English language version is poorly edited and doesn't do the story justice.",,
Reinold F.,"Reviewed in the United States on June 30, 2018",5 people found this helpful,3.0 out of 5 stars,"Seems literature, but actually is a political statement that preaches intolerance and discrimination.","When Dante wrote the Divine Comedy there were characters that were in Hell despite having his sympathy and affection: a good writer knows when to leave their characters to breath and grow without the writer influencing the story. Is bothering in the Iliad when the gods interfere in the fights. The author doesn't let breathe the characters, he judges them according to their political choice and decide their dooms according those choices, even more, he kidnaps them to explain his politics through them, making them out of character.The book start in a powerful way... there is a crime and there are two persons that are going to be kind of detectives: Mikael and Lisbeth, trying to solve an apparent impossible case. Both are interesting and clever... and the pace is thrilling... but then the book ends in a kind of sad parody:* Without giving spoilers in the end the case is simply discarded... there is not a clever solution to the mystery of the case... wasted time for a pair of detectives without nothing to investigate.* The ""good ones"" are ALWAYS leftists and the ""bads"" are ALWAYS rightists. And the author awards the former and punishes the latter. Honestly it is a bit naive to think that the capacity of good and evil is based according to the political party one chooses o.O* All the characters do the same things but are discriminated for their political choices: About Lisbeth the author says she tries substances that are perhaps ""not very legal"", the daughter of the villain instead is ""an addict""; Mikael treats like garbage to her own daughter so ""he is not a good father""; the secret nazi father of other character does the same and is described as a monster whose abandonment inflicted pain to his children, although the son gets evil (rightist) and the daughter just afraid but good (leftist) anyway.* In Sweden ALL the women are feminists that are ALWAYS abused by rightists men, according to the made up statistics of the author they are a kind of slaves in Sweden. Women in this book fall in love always if you are leftist...* In Sweden ALL the non white migrants are good and nice men (even the ones in prison!), although conveniently their women are hidden so  we don't see retrograde attitudes from them that would change our opinion. This idea is naive as well, every man and woman is capable of good and evil. I understand Sweden is a country where feminism is very active politically, I really doubt each Swedish man is a monster and each non-white migrant an angel. One of the migrants is a Muslim man that has no problem to try to cheat his (invisible) wife with Lisbeth, a girl that looks underage and could be his daughter, but as he is migrant Lisbeth finds him automatically attractive.* Men cannot get in love because apparently that is harassment. Women choose and force the men into relationships, in the book Lisbeth commands Mikael to not reject her because that would be harmful to her self-stem... so it doesn't matter if he doesn't love her, he is just a man.* Mikael is incapable of love so he just obeys what women says, otherwise he would be an abuser. Sadly the conclusion is that he not even is capable to care for her daughter but the daughter loves him because he is... (yes?) leftist! xD* The characters are ""possessed"" by the author: they are talking and suddenly they start to insult people with rightist tendencies. I am apolitical so it is very tiring to read this diatribe.And so on and so on till the nausea... till it gets the focus of the story and when the case is showed as non-existent then the book deflates and we get a lot of filler pages showing how the world embraces leftist policies, Mikael's magazine is the most popular and all the nazis (everybody that doesn't agree with the politics of the author is called nazi) are dead so a happy end courtesy of Deus ex Machina and nothing else.This book was very promising but in the end I cannot avoid the elephant in the room: it is pretty discriminatory. I am not going to read other books by the author with the idea that your political choice and not your actions are the ones that speaks about your quality as a person. And my comparison to Dante is no casual, I have the suspicion through all Stieg Larsson's book that he fell in love with a young lady and he was rejected. The book seems (as the Divine Comedy) like trying to arrange a meeting in dreams with the loved one that in reality couldn't become to be.",,
Jay in Phoenix,"Reviewed in the United States on December 27, 2012",5 people found this helpful,5.0 out of 5 stars,Second time around,"I am on my second round of reading the Millennium Trilogy. I have seen all three Swedish movies and David Fincher's American movie of this title and greatly enjoyed them all. ""The Girl With The Dragon Tattoo"" is a first-rate mystery plus a social commentary on the victimization of many women in Sweden that doesn't interfere with the story at all (the original title in Swedish is ""Men Who Hate Women"").Lisbeth Salander is one of the most unique characters in fiction. She has been victimized since childhood but refuses to play the role of a victim. She is the perfect foil of the protagonist Mikael Blomkvist, an investigative journalist hired to look into the disappearance of a young woman 30-some years before. Salander is a Goth, a loner, a hacker, and a supremely talented researcher. Blomkvist takes her on as his research assistant when the job he is hired for starts to get complicated and dangerous.This is a long book (over 650 pages) and a wild ride. You will be glad it is that long as you don't want it to be over once you've started it. I can't recall a modern work of fiction I have enjoyed more than the Millennium Trilogy. All 2000 pages of it. However, this book works fine as a stand-alone novel. There are no loose ends at the end.",,
manndrake,"Reviewed in the United States on August 15, 2014",2 people found this helpful,4.0 out of 5 stars,A Fascinating Character,"I came to this book late.  It had been on the best seller lists for a long time and it filled the window of the local bookstore, and I passed it by.  When I did pick it up, I devoured it.  It is the story of a discredited investigative reporter in Sweden, who takes a job for a man who wants to find out what happened to his missing niece, many years ago.  Along the way, the reporter meets a reclusive computer hacker with a giant dragon tattooed across her back.  She agrees to help the reporter solve this cold case.  Much has been said about the poor writing of Stieg Larsson.  I agree that he sometimes has too many subplots going and he lets some just dissolve into thin air  This story suffers from the fact that the killer is such an ordinary person.  It takes some of the steam out of the climax.  But Mr. Larsson does build his scenes toward the climax, he raises the tension as the story goes on, and he has invented one of the most interesting characters in popular fiction.",,
Dominic,"Reviewed in the United States on May 19, 2017",4 people found this helpful,4.0 out of 5 stars,This story is absolutely great if you like mysteries,"This story is absolutely great if you like mysteries, crime dramas, investigations, and thrillers.The condition of the book I received was not perfect which is why I gave it 4 stars instead of 5. When I buy a book to keep I expect it too last me along time and I'm not convinced w this one. The ends of all the pages appear to be different lengths and the pages don't seem too secure in the binding. So it's not top quality. But overall it held up through the first read.I will read it again in the future.",,
Rick S,"Reviewed in the United States on October 2, 2016",3 people found this helpful,5.0 out of 5 stars,Excellent book. Number 1 in the 3 book series,"Excellent book.  Number 1 in the three book series.  I just finished this book and had to jump into the third 2nd book immediately.  The author has you riveted to your seat and makes it very hard to put the book down.  I read the first book, just finished the 2nd book and I am anxiously devouring book number three.  Is just a shame that the author, Stieg Larsson passed away in 2004 right after he submitted these works.  I would have loved to read more of his works had he the chance to continue writing.",,
J. Yu,"Reviewed in the United States on June 24, 2011",9 people found this helpful,3.0 out of 5 stars,I don't get the hype.,"I'm surprised so many readers have been willing to persist through the lengthy exposition and the huge cast of characters--with Swedish names, nonetheless--to finally get to the action. There's a lot of backstory to trudge through, and the first part of Blomkvist's investigation plods along, as we see him get up, make coffee, go for a jog, explore the village, eat a sandwich, read files, make coffee, go for a jog...I put the book down a few times in frustration or boredom but continued because I assumed there must be a huge pay off. Not really. After sorting through a whole warehouse full of people and a tangled net of subplots, I found the resolution of the central mystery rather anticlimactic and unsatisfying. The atrocities that are revealed in the book should be terrifying but aren't. The violence didn't make an emotional impact on me, probably due to the weak character development and poor writing. I don't know if this is just a bad translation or if the original prose was clunky (or maybe both), but many of the sentences are awkward, the dialogue is often wooden, and there's no spark to the language.A couple subplots are left unresolved, I assume to be picked up in the next installment. Lisbeth Salander is an interesting enough character I might read the next one--especially since I optimistically bought all three at one time--but I really don't understand why this book has won so many awards.",,
MB,"Reviewed in the United States on June 22, 2019",,5.0 out of 5 stars,"Good plot with lots of twists, depth, and a satisfying ending with one last twist.","The different threads of the plot were woven together well, albeit the character development was a little disruptive in the beginning. This, however, is always a necessity in the first book of any series and was actually done in an entertaining fashion. The level was a bit uneven, with some mundane parts going into significant detail while some of the key action was over in a paragraph or two. But overall, that worked to move the story on at a good pace while building the characters. I'm definitely looking forward to reading the rest of the novels.",,
J. Evans,"Reviewed in the United States on August 7, 2010",8 people found this helpful,2.0 out of 5 stars,Thumbs down for me,"I'm sorry but I gotta go with the negative reviewers on this one. This is a real mess of a book. It's greatest failing isn't that it's central, most interesting character, Lisbeth Salander, is relegated to a supporting role next to Mikael Blomkvist, the world's most boring sleuth since Jack Webb in the old Dragnet series. No, its worst failing is that it is over two thirds of the way through. It often happens that authors begin stories they have no idea how to finish. So they end up tacking on a conclusion that more times than not fails all that precedes it.Here, the mystery is solved, the murderer identified (He's is a real snoozer too by the way) only to be discarded along with the entire murder mystery plot of the first two thirds of the book just so the author can bring forward the Blomkvist vindication subplot with its attendant back-story baggage which had been dragging the story down from the beginning. By that time I'd had it with the annoying little milksop and didn't much care if he got vindicated or not.Where is Lisbeth, I kept asking?  Well, the pathologically introverted though brilliant sociopath - never comfortable with unfamiliar places or unfamiliar people - suddenly turns super con woman and hatches an elaborate bank fraud scam that has her jetting across Europe in designer clothes, speaking perfect Oxford English. Yeah, she's really smart and all. I get it. But come on. This isn't an ending. It's an underdeveloped hacker short story loosely stapled to the end of an unfinished mystery novel. Hackneyed is not too strong a word for this. Neither is anticlimactic, incongruous, or hamfisted.If you are interested in this book, take my advice. Skip it and rent the movie - the Swedish one. Yes, the movie shares many of the book's shortcomings, pig's ears being what they are and all. But Noomi Rapace makes an absolutely great Lisbeth. It's in Swedish but that doesn't matter because, trust me, reading English subtitles is less painful than reading Stieg Larrson's prose.",,
Charlotte R. Mitchell,"Reviewed in the United States on May 16, 2013",One person found this helpful,3.0 out of 5 stars,Too Much Violence - Less about Computer Hackers,"When I read that the book was about a computer hacker, I expected to find some interesting information about how the hacker's mind works and how the hacking is done.  I admire the intellectual capacity of a person who understands computers that well, but I would like the hacker to use his/her abilities for good purposes.  When there are such graphic descriptions of extreme violence in a book, the description of the book should state this so that a reader will be informed before making his/her decision about reading the book. I have to wonder why the author felt it necessary to go into such detail on the violence.  Some of the book held my interest, and I wanted to see what would happen next.  However, I found parts of it would just drag on and on and cause me to turn off my Kindle until I could cope with reading the book again.  To me the description of all the business ventures of the Vanger family and of Wennerstrom (along with the mention of so many bank accounts) was very boring.  When I am reading names with which I am not familiar, I don't recognize certain names as male and others as female.  It didn't help that Blomkvist called Erica ""Ricky"".  In my opinion way too many last names began with a B.  I wish the Kindle version would have had a list of characters with a brief description of each one and an easily accessible link to that list; Kindle's version could also provide such a link to the family tree the author included. I see that the Shelfari Community has put a list of characters on the amazon page for the book.",,
Mary Wood,"Reviewed in the United States on September 26, 2011",2 people found this helpful,4.0 out of 5 stars,"Starts very slow, but for good reason; unique writing style","(NO MAJOR SPOILERS HERE) - Seeing the first teaser for the Daniel Craig/Rooney Mara film I picked up the book expecting a high-octane action thriller. Turns out, surprisingly little to no octane but rather a psychological mystery well worth the ride if you stick to it.Part of that is owed to the writing style. You get to know the characters, especially Salander, not as much by peering into what is going on in their heads, but more through their actions. Being Asperger's myself, as Salander is suspected to be, it's definitely a unique way to get into the mind and character of an Aspie. When something bothers us we don't always react the same way most people do. So we get less of the traditional ""X really bothered Salander (emotion, emotion, swirling emotions)"" and instead we get more of ""Salander frowned and (action/what she does about it)."" It's the buildup of those actions and reactions from which a picture of this person gradually forms.The other reason for so much exposition is that it is a very character-driven mystery. When the aforementioned writing style does lead us into a high-octane sequence, one might almost miss it. We expect to see lots of capital letters and exclamation points and description of high emotion. Instead, the action sequences read almost like a matter-of-fact police report, describing coldly and simply what is going on. The ""octane"" therefore comes from what you know of the characters. ""Whoa! That was kind of out of character for this person!"" Subsequently, as the core mystery starts to unfold, what makes X creepy or Y something mysterious that you suddenly crave to know more about is what you know of the characters and personalities involved. It's knowing how the dysfunctional Vanger family disfunctions which gives the mystery its dimension.So we end up getting sucked into the mystery much the way the character of Blomkvist does: low expectations based on the dry start, but inexplicably, as details start to unceremoniously emerge, they light a spark that has us hungry to know more. If you require fast-action to hold your attention, this is not the book for you. If you want to stretch your brain a bit, get the action and emotion not from what is written on the page but from what you now know of the personalities involved, this book will not disappoint.",,
Davewise,"Reviewed in the United States on November 17, 2011",2 people found this helpful,5.0 out of 5 stars,An exciting and engaging mystery,"After hearing David Fincher was doing a movie based on this book, I decided to give it a try and I wasn't disappointed. It is a well-written mystery about a girl's disappearance many years ago which turns into a present-day terror. While the mystery itself drives much of the plot, the fascinating characters are what really drives the novel. The ""girl with the dragon tattoo"" is Lisbeth Salander, an introverted, anorexic, expert hacker who gets categorized as troubled and sent to a children's psychiatric hospital. Even as a young adult she is considered legally incompetent; one of her appointed guardians takes advantage of her sexually. Lisbeth is no weakling though and can be dangerous in self-defense. Despite some of her methods, it's easy to empathize with Lisbeth and cheer her on - in many ways she's a victim herself but she refuses to act like one.In some ways, the main character in the novel is actually Mikael Blomkvist, a financial journalist facing libel charges related to an article written for his magazine ""Millennium"". Just like Lisbeth, Mikael has his own flaws which helps make him feel real. Mikael receives an odd job offer from Henrik Vanger, the aged former CEO of a large corporation. Henrik wants Mikael to look into the decades old disappearance of his niece Harriet, whom Henrik believes was murdered by a family member. At first Mikael dismisses Henrik's suspicions, but before long he too gets wrapped up in the case. Discovering a number of new leads, eventually he enlists the help of Lisbeth after learning of how she was able to research Mikael's background for Henrik before he was hired. The story picks up a lot of steam with the new developments and includes some interesting twists. Overall I found the novel very enjoyable, even after I was able to predict part of the ending. There was more than enough to maintain my interest with the varied characters and plot twists.",,
Amazon Customer,"Reviewed in the United States on April 19, 2013",,3.0 out of 5 stars,Not the action and suspense I was expecting,"I love audiobooks that are full of suspense, action, and mystery, as they always keep my attention with the intrigue.  After hearing such positive and glowing reviews of this book, I may have set my expectations a bit high, because I did not find the level of enjoyment from this book that many others did.I found Blomkvist an interesting character, who puts his life on hold to help Henrik Vanger solve an unsolved mystery regarding his niece, Harriet.  Harriet disappeared suddenly, years ago, without any explanation and is hoping that Blomkvist can help him where the police couldn't.  Blomkvist does make headway on his investigation, but realizes quickly that in order to research everything properly he will need an assistant.  That is when he hires Lisbeth, the girl with the dragon tattoo.Lisbeth is an odd character who adds her own element to the story.  She has amazing investigative skills that make Blomkvist open his eyes to new possibilities.  As they unveil the mystery of Harriet's disappearance, they form not only a good working relationship, but also a solid friendship.  Not only do they solve the mystery, but confront a current day predator.  This part of the novel puts Blomkvist's life in danger, bringing Lisbeth to his rescue.I really was expecting more action and suspense from this novel, but the biggest part was solving the mystery from years ago.  One of my friends told me the next book was better, so I will probably listen to that one also, but I will wait for awhile.  With themes of family, secrets, and mystery, you may find more enjoyment than I did from this book.  I do recommend this book for lovers of a good mystery, but not if you want some action to go along with it.",,
Solipso,"Reviewed in the United States on January 7, 2012",2 people found this helpful,5.0 out of 5 stars,A fine mystery with a mesmerizing central character.,"You do not need to read the second and third volumes of Stieg Larsson's bestselling international trilogy. THE GIRL WITH THE DRAGON TATTOO is a complete story with a satisfying ending.What genre does this novel belong to? Before reading it, I was unsure. I supposed it was a high-tech action-suspense-thriller, like the Bourne trilogy. There is some tech: mobile phones and a good amount of laptop computer activity, though that's not HIGH tech. There's some sex and some action, but not a lot of either. As I read it, I learned that this novel most appropriately belongs to the genre of mystery. Its prose reminded me of Rex Stout or Agatha Christie, with background details about the setting and background details about members of a large family, from which the reader tries to identify the killer.What made this book a bestseller? The plot is not the answer. It is hackneyed. An investigator is hired to learn about the events of a murder, question family members, and solve the mystery. The setting is Sweden, a bit refreshing for me, but I'm sure the setting alone did not make this a bestseller. Nor did the unremarkable tech or action. No, what made it a bestseller is the charm of the heroine. As I absorbed myself in THE GIRL WITH THE DRAGON TATTOO, my best moments came as I learned about her.I won't go so far as to say that I ADORED her, but I guess my feelings were along that direction. At least for me--though other reviewers don't think so--she was bright, shiny, new, and original. But I don't want to describe WHY she was so. A description would spoil your own moments of discovery, which await your own reading.",,
My 2 Cents,"Reviewed in the United States on December 30, 2011",One person found this helpful,4.0 out of 5 stars,"Started out slow, but then packed a punch!","After falling for a clever hoax, financial journalist, Mikael Blomkvist is convicted of libel. Not only does he face a three month prison sentence, but his career in jeopardy as well.  Soon after, Henrik Vanger, an elderly, semi-retired executive of a prominent Swedish company hires him to investigate the disappearance of his great niece Harriet, who disappeared 36 years earlier at the age of 14.  Initially, Henrik asks him to write about the history of the Vanger family, but is clear that Blomkvist's real purpose will be to solve this decades-old case.  Henrik has been obsessed with having this case solved before he dies.  There has been no trace of her in all these years and it's assumed she is dead. However, every year on his birthday, he receives a mysterious gift of a pressed flower, like the ones his great-niece used to give him.As Blomkvist begins to dig into the Vanger history, he hires the smart, highly talented, Lisbeth Salander to help with the investigation. She looks like a punk-rocker, and she is both tough and brilliant, with a talent for computer hacking. She's also heavily-tattooed and antisocial.For me, this novel started off extremely slow first (150+ pages), and I couldn't understand what all the hype was about. The translation from Swedish wasn't always smooth either, and there are several subplots, but I was determined to finish it as we are planning to see the movie (today).  Once the story got off the ground,  it had me quickly turning the pages.  Each time one mystery seems solved, another one surfaces. The setting is Sweden, and the atmosphere always felt dark and cold -- perfect for this story. The character development, especially of the two main characters was fantastic.  Lisbeth was a fantastic character, even though she could be a downer at times. Blomkvist was the perfect compliment to her, in my opinion. I felt like I was inside their mind at times.Those who haven't read this one yet, should be aware that there are a couple of disturbing incidents of rape and other abuse against women. The story is definitely graphic at times.  If you aren't too disturbed as you read, by the end of this novel, I believe most readers will be anxious to read the (2) books which follow: The Girl Who Plays With Fire, and The Girl Who Kicked the Hornet's Nest.",VINE VOICE,
