username,date,Helpful count,stars,review title,Review text,Badges,Top Contributor
Dandelion,"Reviewed in the United States on July 7, 2012",,5.0 out of 5 stars,Riveting,"I normally do not expect a sequel to be better than the 1st book, but this one is an exception. I very much liked the first, ""The Girl With the Dragon Tatoo"", but this goes way beyond that book.The book is not for a sensitive soul or an idealistic one. It is raw and brutal and touches on aspects of life that perhaps we would rather not know about. Somehow the author puts humanistic and idealism and heroism in that pool of muck and creates an ever twisting, riveting conflict.The heroine is not saint. I loved her because she isn't a saint. She is not the sterotype smart blond with an improbable body (that we see so often on TV); she is a a waif. A waif with a piercing intelligence that will get her mission does. She is violent and extremely anti-social and a true misfit for good reason too. In this sequel the reason that the heroine, Salander, acts like that is exposed. We finally understand the roots of her behavior.The actions and reactions of the people around her are written masterfully and convincingly. The threads of substories are interesting in themselves and you quickly realize that those stories are there for a reason and sooner or later all those threads will be woven together with surprises.The sections on the outlandish connections the press made without proper documentation made me want to scream. However, I realize that this sort of exaggeration goes on everyday. Thus we are forced to look at the creation of sensationalism in the press and see what it is - it sells newpapers and ruins people's lifes. It judges without a jury. It labels and implies and misstates almost without restrain. It is out price for a free press but also the curse of it. If you read this book just to focus on this material you will have an eye opener.I found myself reading this book much faster than the first. When I finished I just had to go out and buy the third and last book. I did not wait to order it from Amazon, but found it at a bookstore. This is something I rarely do, but the series is that good.If you liked ""The Girl With the Dragon Tatoo"" you must read this and then buy the third one too.",,
Davewise,"Reviewed in the United States on June 12, 2012",,5.0 out of 5 stars,Amazing... but incomplete,"After having enjoyed the first book in the series so much, I looked forward to reading this second one and I wasn't disappointed. The story was gripping, fast-paced, and even more engaging than the first. While the style and many of the characters are the same as ""The Girl With the Dragon Tattoo"", this is by no means a repeat. Blomkvist felt more like the lead in ""...Tattoo"", but here the focus is clearly on Salander. Much of the book is from her point of view and a lot of the story revolves around her past. Those who have read the first book will know what an interesting character she is and it was even better to find out more of her past - her family, the incidents that led officials to label her crazy, and more.Like the first book, this one is part mystery, part thriller. Here there are 3 murders committed and the police quickly identify Salander as the prime suspect. After the fallout from their parting, Blomkvist and Salander aren't exactly on speaking terms, but he still does his best to prove her innocence. Three very different investigations are under way, with the police, Milton Security, and the team at ""Millennium"" each trying to determine what happened but each with their own take on it. Salander meanwhile has her own questions and does everything as much on her own as possible. The case involves an expose on the sex trafficking business as well as government secrets.The story quickly roped me in and I wanted to read more and more as I went on. My one complaint is with the ending. While the first book had a satisfying ending where a sequel could be done but the book still felt like a whole, this one finishes with too many loose ends. It's clear that the next book needs to more or less pick up where this one left off, whereas there was some elapsed time between the first and second. There aren't too many unanswered questions, but there are things left unresolved.",,
M. Skwiat,"Reviewed in the United States on June 19, 2010",5 people found this helpful,5.0 out of 5 stars,Better than the First,"All this buzz is swirling around about Stieg Larsson and his Millenium series.  Not going into the details of how or why it's so popular, I can comment and review the books themselves.  Having read the first one, and believing it to be a pretty good thriller, I found the second one on Amazon and decided to give it a go.  Whereas in the first one I found the plot to be interesting and rather titillating I felt that it was missing something.  Sure Blomkvist was a likable hero and his journey to uncover a family mystery was interesting to read.  It was perhaps Larson's creation of Lisbeth Salander that really got me interested in the book.  She is one of the most exciting characters to come along in a while possessing similarities of Lara Croft, 007, Jason Bourne and a whole slew of other action heroes.  She made the first book exciting, but I still felt the first one lacked something, or maybe I was just let down that it wasn't as good as I wanted it to be.  The second one, however, packed a punch that left me craving to read it at work, at school, and deep in the night.  What makes the second one so good is the slow unraveling of Lisbeth Salander.  In the second one we find her a changed person from the first novel.  In The Girl Who Played with Fire she is a lot more grown up and the mysteries that surrounded her in the first novel begin to reveal themselves.  My pulse was pounding to find out what was going to happen next.  I also felt the character development was solid.  All our old friends from the first one our back and each is given their own time to reveal themselves.  The plot I also felt was stronger in The Girl Who Played with Fire.  Trying to sum up this story to a friend is difficult because the plot is so tightly bound with mysteries being uncovered left and right.  It's a thrilling murder mystery, family drama, government cover up, and feminist fable of power.  I highly recommend this novel and look forward to the third one.",,
callibug9,"Reviewed in the United States on February 19, 2014",,5.0 out of 5 stars,Made me want to read the next one ASAP!,"This book is written in the same style as The Girl with the Dragon Tattoo, which I really like, but if you take issue with it, just know this one is the same as far as that goes. This book, however, is much more fast-paced and suspenseful than the first one. The first one has some action and suspense, but is mostly research and discovery into the mystery.Although the story is told in third-person, Stieg Larsson just has this way of revealing only what he wants you to know sometimes painfully! It's very cool how he dives in and follows certain characters in a manner that makes you keep turning pages.You do not need to have read the first book in order to understand this story--the story is separate with many of the same characters, the important points of the first one are well-explained throughout. It helps so you can understand the main character a little bit, but this story goes much more into her background and history.I found the first book great reading but sometimes painfully slow. This book deviates from the slow pace of the first one. I bought the 3rd book as soon as I finished this one and will review when finished!",,
John F. Rooney,"Reviewed in the United States on August 5, 2010",One person found this helpful,4.0 out of 5 stars,The Film Version Is Better,"""The Girl Who Played with Fire"" - luckily I saw the excellent movie version before I ventured into the 630 page novel. The film is focused, tighter, on target, concise, and gives you all of the essentials of the book. The novel is all over the place, diffuse, too gangling, unfocused, has long sections of unnecessary detail and other plot strands that have nothing to do with the central plot arc. I found the book to be a heavy slog, and had a hard time getting through it. At its heart, though, it has the fascinating and deeply involving story of one of modern literature's most vibrant characters, Lisbeth Salander.Lisbeth has been away from Sweden for a year since we last saw her in ""Tattoo"" living a life of luxury abroad. She purchases an apartment in Stockholm, but no one knows about it. Unfortunately she talks her former girlfriend into taking over her old apartment, and the girl becomes a target for Lisbeth's enemies. Lisbeth wants to get her records from her sadistic guardian, Bjurman, but he is cooperating with her arch enemy ZalaLisbeth's boyfriend from the first novel in the series, Mikael Blomkvist, spends most of his time trying to track her down. He's publisher of the counter-culture magazine Millennium. He has hired a free lancer to write an article about sex traffickers and the johns that are involved in the trade. The writer intends to out some of the prominent johns, and one of the johns is from the Swedish secret service. The writer's girlfriend is also working on revealing the sex ring.The two narratives converge at a crucial stage when Lisbeth is accused of three murders, and the police start a massive hunt for her, although they aren't very effective, and she is able to move around with relative ease. Get ready for violence, sex, gore, torture scenes, and suspense as we follow the protagonists. Lisbeth always seems to be immersed in trouble and with men who hate women. There's some computer hacking in this one that keeps her ahead of everyone else. Lisbeth's barbarous father whom she had torched as a child comes back with a vengeance in this sequel.The novel ends in a cliffhanger that will entice readers into seeking out the third book in the series.I liked the first novel more than this one because it was more focused and involved more interaction between the two principals, Lisbeth and Mikael; it was more human and more affecting than this one.Lisbeth is as tough and wily as ever. It's an intricately plotted, labyrinthine, tantalizing mystery.",,
clifford,"Reviewed in the United States on August 10, 2009",2 people found this helpful,4.0 out of 5 stars,I am an enormous fan of Larsson. This book just doesn't quite make the grade.,"As an author, Stieg Larsson is someone of whom you just cannot say enough good things about. Not only was his story telling unique in style, but in substance as well. His characters are fleshed out above and beyond a mere mystery. The plots of his stories are so complex and deep, that you get lost in them and once you are finished you look back in awe over the creation.I don't know enough about the life and early death of Stieg Larsson. All I know is that the first two of the three books he left to be published comprise what can only be considered to be one of the all time classic mystery/thriller genre book series.Once again we are given the admirable character of Mikael Blomkvist as a protagonist. The story starts off with him and his familiar cast of Milennium Magazine getting ready to publish an expose on the sex trade of Sweden. We are also re-acquainted with Salander, a quite introvert genius (negative note #1, Larsson is falling into an old trap where the author falls in love with his characters. Salander is morphed here in this second installment from a simpler character into one with almost super-hero qualities which instead of setting her apart, instead makes her feel almost like a character based on a Marvel comic book.)Ok, so you know that I love Larsson, love the characters, and I even really enjoyed the story. Why would I give this book only 4 stars then??? Well, this is based on purely personal reasons for the most part. I am a reader who hates jumping from character to character, and the more characters who find themselves in the roll of first person, the more I hate the story. However, ""The Girl Who Played With Fire"" relies upon this trick more heavily than just about any other novel I have ever read. Larrson writes in nice short chapters, and they are always seen through someone different eyes. I bet I could go back and dig up 30 different first person studies. Larsson, great writer that he is, still manages to avoid the most common flaws here and pulls it off better than most. It was just a lot more bumpier of a read than it needed to be.Perhaps most egregious, Larsson plays with the plot, suspense and arc of the story by mashing all of the story lines into one convergence. I am not giving anything away here because this information can be found on the books dust jacket. We are following Salander along quite nicely. Once she is accused of the triple murders, she flees and the story forgets her. Alot of what thus ensues could have been answered quickly if we had only stayed in her head and not started to jump all around from character to character.Or perhaps I could put it this way... Larsson falls back on a lazy mans writing trick by jumping from one persons mind to the next. He fills in gaps and keeps the story moving along this way. However, the most important bits surrounding Salander, Larsson goes the opposite route and keeps these moments hidden from the reader. Thus giving a very false sense of urgency and suspense. I can't forgive him for trashing the novel so heavily with this ploy. The rest of the writing structure and style would definitly merrit 5 stars, but...",,
My 2 Cents,"Reviewed in the United States on January 10, 2012",,4.0 out of 5 stars,Great Follow up ~ but too much minutiae,"In this follow up to The Girl With The Dragon Tattoo, the second book of the Millennium series, The Girl Who Played With Fire, was probably even more fast paced than book one. In my opinion, you should read these books in order, as you'll really get a better feel for Lisbeth Salander, and what has been going on with her.As this story begins, Lisbeth Salander enjoying her new wealth, altering or should I say enhancing her appearance through plastic surgery, and relaxing at a hotel in Grenada as a terrible storm looms. Back in Sweden no one knows where she is, but Mikel Blomkvist, publisher of Millennium magazine, is preparing to run an explosive feature exposing of the underage sex slave business in Sweden, which involves some top-ranked officials and crooked cops. The day before the feature is to run the journalist responsible, Dag Svensson and his partner Mia, are murdered. The following day there is another murder, that of Nils Bjurman.  Although he seems unconnected to the other two,  he happened to be Lisbeth Salander's legal guardian.When the same fingerprints show up in both of these cases, the hunt is on for the elusive Lisbeth Salander.  Even her old pal Blomkvist has no idea where she is, but he believes she is innocent and wants to help prove it.  Having tapped into his computer, Lisbeth communicates in cryptic ways sending clues about who might be responsible.The book started out full steam, but then had several lulls throughout the 600+ page storyline (much could have been eliminated, in my opinion). There were too many unnecessary details, throughout the book.  Don't get me wrong, this was still a fantastic story.  I liked the direction the continuation of this series took, and while some interesting things were revealed about Lisbeth's family history, I felt the that the introduction lead the reader to believe that we would learn a lot more about why she is the way she is.  That just didn't happen.  The story did pick up again in the last third of the book, with lots more action and revelations, which made me as the reader anxious to read the final book of the series.",VINE VOICE,
Solipso,"Reviewed in the United States on January 11, 2012",,5.0 out of 5 stars,A good sequel to the first volume of Larsson's The Girl Who... trilogy.,"Warning! Do not read the blurb on this book's dust jacket. It spoils what would otherwise be an eye-opening surprise. As with its predecessor, THE GIRL WHO PLAYED WITH FIRE's best quality is its heroine. Though she is not as fresh and original as when I met her in the first volume, her history is amplified in the second volume. She is interesting enough that material I would ordinarily judge inappropriate and boring was acceptable and interesting. For example, Stieg Larsson describes at length the heroine's mundane tasks of buying clothes, buying an apartment, and furnishing the apartment. Also, Larsson describes the heroine's vacation activities in the Caribbean and her meeting of a boyfriend there, neither of which has anything to do with the plot. Indeed much of the first hundred or so pages of the book have nothing to do with the plot. Still it is interesting.I advise that you have recently read the first volume before reading this one. You do not absolutely need to, but information from the first volume supplements the second and provides you with a richer overall picture. Also, the staffs of Milton Security and of Millennium magazine return in the second volume, and it is pleasant to be familiar with them.Regarding the plot, it had an unexpected flavor. The plot revolves around illegal trafficking and enslavement of young prostitutes. So I expected it to proceed like Liam Neeson's movie TAKEN. He played a father whose daughter was kidnapped and turned into a sex slave. The Neeson hero locates the traffickers' nest, barges in, shoots the place up, and rescues his daughter. But despite the theme of sex trafficking, Stieg Larsson's plot is quite different from the movie's. None of the scenes occur in a trafficking nest, or any kind of whorehouse, and there is no rescue like the Neeson character's. Though Larsson's novel has sex and action, the story is not one of heroic rescue. It is investigative journalism. More scholarly, if you will.",,
Larry Hoffer,"Reviewed in the United States on August 10, 2012",,5.0 out of 5 stars,Stieg Larsson hit his stride with the second book in his trilogy...,"You've got to love books that make you stay up as late as necessary to finish them. Stieg Larsson's The Girl Who Played with Fire, second in the ""Millennium Trilogy,"" was one of those books for me. And much like many other series of novels I've read, Larsson definitely hit his stride with this book. While the first book in the series, The Girl with the Dragon Tattoo, was tremendously gripping and well-written, it definitely suffered a bit from an overload of details that didn't necessarily move the plot forward. But this book, while starting a bit slow, was definitely stronger than its predecessor.Reporter Mikael Blomkvist is working with a freelance journalist on an article and book exposing sex trafficking in Sweden, a problem that has reached epidemic proportions and involved politicians, judges and policemen. Just before the article and book are to be published, the journalist and his girlfriend (on whose doctoral dissertation the exposé is based) are murdered. The suspect in these brutal murders, as well as one additional murder, is Lisbeth Salander, Blomkvist's socially awkward yet brilliant sometime-friend and researcher. Blomkvist is convinced of Salander's innocence even while the facts against her are mounting, and he defies the police and other enemies to try and figure out who really murdered his friends, while at the same time, forces from Salander's past are trying to remove her from the picture for good.This book read like a movie. The action is great, some of the twists actually made me gasp, and Larsson never lets his main characters be one-dimensional. If you're like me and usually shy away from the books everyone else on Earth is reading, take my advice: read this one.",,
Born2Late65,"Reviewed in the United States on October 26, 2010",One person found this helpful,5.0 out of 5 stars,"Some mistakes, but an entirely enjoyable read.","Hi,I usually try not to write spoilers. After reading the first book. I decided not to follow this one while noting every little inconsistency or problem. I enjoyed this second book even more than the first from Herr Larsson. I am sometimes too [...]for my own good. There was only one major plot oopie in the first book (Old man Vanger would have known to look for the archival pix from the newspaper. He was an old newspaperman himself. The detective certainly would have as well.). Plus the minor fact that Mr.Larsson wasn't very knowledgeable about Glocks (Salander flicked the safety on a Glock. There is no manual safety on a Glock. That's one of their strong points.).The biggest problem I found in the second book? Salander's prints on the gun. Neanderthal man (Niedermann, in German) had huge hands. His gloves would have smudged any prints on that gun (including the cylinder) so much as to make them useless. It is highly unlikely that a viable print would have survived all the handling required to do his travels & murders. As an aside. I looked it up out of curiosity. There is a genetic disorder like what he had. It's acronym is CIPA (Congenital Insensitivity to Pain disorder w/Anhidrosis). Happily, that disorder is incredibly rare in real life.Now to be a bit of a wanker... As it turns out w/the second installment. He wasn't very knowledgeable about firearms, period. There is no such thing as a 45 Colt Magnum. Carbon did offer some highly specialized ammo w/this designation printed on the box. It wasn't true magnum ammo, though. It was only +P, & only meant for guns like the 454 Cassull. His continual references to special ""Hunting ammo"" must be unique to restrictive Swedish gun laws. A hollow point is a hollow point. Carry ammo, or hard ball, it's as simple as that. He didn't cite which Browning pistol in 22 caliber. So, I'll leave probable wound realities out of it. Did I mention I'm sometimes too [...]? Sorry... His cardiac information is off, too (washed-out cop w/slight hole in pericardium).The part about Salander being willing to lie down & die. While Zalachenko was still breathing? It was certainly out of character for her. Personally, I'd find her collapsing, unable to make it back to the shed due to her wounds, much more believable. The thing is. In real life, people do do things like that. However paradoxical their actions may seem. So, I can't fault it for that. I enjoyed this book a lot, & am looking forward to starting the third :-). I deeply hope Herr Larsson lived long enough to realize how successful his work would be.",,
Justin Lee,"Reviewed in the United States on June 7, 2010",One person found this helpful,4.0 out of 5 stars,Review for THE MILLENNIUM TRILOGY (Part 2 of 3),"Note: I'm trying to write this as a review of the entire Millennium trilogy, broken into three parts. For those who are wondering how the trilogy should be read, my opinion is to read them in order and back-to-back. Although Larsson does a fine job of re-introducing recurring characters, it helps to know their back story; and back-to-back because Larsson's cast of character is HUGE. I've written up a list of characters for the trilogy, which you are free to use and distribute as you wish [...]. I also made a more condensed version [...] that removes all the minor or non-recurring characters. If you do read this trilogy and you're unfamiliar with Sweden (as I am), you might want a map of Sweden on hand or have Google Maps handy. It's not necessary, but it did help me picture things better in my head. This is especially true of the latter two books, which  explores Sweden a lot more. Google Maps is especially great for this because you can use Street View for many of the locations.THE MILLENNIUM TRILOGY (Part 2 of 3)The Girl Who Played With FirePLAYED WITH FIRE begins about two years after the events of DRAGON TATTOO. The first part of the book covers what Salander has been up to during this period, and focuses on the time she spends vacationing in Granada. At this point, she has become fairly well-off, and is able to buy, travel, and do everything she wants. She has very little attachment to the people in DRAGON TATTOO, including Blomkvist.Most of this book is about Salander. Blomkvist, who was the protagonist in the first book, takes a back seat role. However, Salander, being a curious person, inevitably gets caught up in the intrigues around her. This book goes deeper into her back story, including the ""All The Evil"" event that was hinted at in DRAGON TATTOO. Towards the middle of the book, Salander disappears from the narrative, and Blomkvist returns to the  focus of the story. A series of murders has occurred, and Blomkvist has to uncover the events that linked seemingly disparate people and events together.My thoughts on this book:1. Salander is an interesting character, no doubt. It was hard for me (and, I imagine, others) to compared her to a kind of female Hannibal Lecter. She is unimaginably smart, and incorruptible, to the point of being nearly superhuman. She has her own system of morals that makes sense to her, and she can be lethal if she wants to be.2. There were scenes in the book that reminded me of the ethics of torture, which seems to work in context. It's particularly interesting in light of the fact that Larsson is so vocal on social matters, especially those pertaining to violence. He speaks out against real-life crimes that has happened in Sweden, and yet he puts the reader in the position of wondering about his position about ""extreme interrogation tactics"" when it pertains to people who don't have our sympathies.3. PLAYED WITH FIRE (and HORNET'S NEST) feels distinctly different from DRAGON TATTOO. Those who were expecting a similar structure might be surprised. Although there is a murder to solve, the reader more or less finds out the answer well before the end of the novel. As such, it's not so much a murder mystery, as it is about how people from different parts of society piece together evidence.4. The Granada episode was out of place. I suppose Larsson included it to inform readers about what has been happening to Salander, and to give some insight into her character. Perhaps this episode would have had significance in the future novels that, unfortunately, won't be written. It wasn't that it was badly written--Larsson is an excellent writer--but that it was jarring to be taken from one context to another so abruptly. Maybe it was there for foreshadowing or symbolism or something to signal a coming storm.5. I'm unfamiliar with Swedish politics and history, and I wonder whether there are aspects of the book that someone who is familiar would see. For example, whether the characters are real-life people (good or bad) that Larsson is trying to portray.6. I do get lost with the number of characters in this series. Again, I suspect this is because Larsson, from what I understand, had been planning a longer series.Don't get me wrong. I'm enjoying this series, and I highly recommend it. It's exceedingly well-written. As I mentioned in the review of DRAGON TATTOO, book two and three of the Millennium series feels like a single volume separated into two books. At the very least, I would suggest reading those back-to-back.",,
